epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,204.885,1.36166,1.07746,1.1497,0.50418,0.66551,0.57141,0.37673,1.09329,1.01538,1.07982,0.0007228,0.0007228,0.0007228
16,218.426,1.37913,1.03115,1.14351,0.72049,0.56499,0.60356,0.38566,1.09361,1.00869,1.07333,0.000703,0.000703,0.000703
17,232.062,1.32511,0.97194,1.11107,0.59475,0.55942,0.60096,0.39144,1.11938,0.9934,1.0676,0.0006832,0.0006832,0.0006832
18,245.566,1.34651,0.96555,1.11554,0.55404,0.64186,0.60826,0.4312,1.06425,0.94021,1.05527,0.0006634,0.0006634,0.0006634
19,259.125,1.32248,0.99421,1.12951,0.73858,0.5897,0.63341,0.39944,1.1125,0.9697,1.07202,0.0006436,0.0006436,0.0006436
20,272.607,1.2907,0.93354,1.10034,0.58789,0.6238,0.61168,0.40112,1.12203,0.95736,1.04774,0.0006238,0.0006238,0.0006238
21,286.13,1.31568,0.91585,1.1042,0.76674,0.56725,0.62819,0.41286,1.13558,0.96282,1.07066,0.000604,0.000604,0.000604
22,299.661,1.28259,0.898,1.09552,0.58872,0.68465,0.64663,0.4423,1.04803,0.94574,1.04753,0.0005842,0.0005842,0.0005842
23,313.156,1.26034,0.89679,1.09564,0.61006,0.64579,0.67772,0.42913,1.12106,0.95681,1.0678,0.0005644,0.0005644,0.0005644
24,326.713,1.24205,0.86452,1.0796,0.59099,0.61523,0.64354,0.412,1.09855,0.9341,1.06485,0.0005446,0.0005446,0.0005446
25,340.194,1.2392,0.89051,1.09403,0.69512,0.56631,0.64276,0.44027,0.99865,0.90286,1.04747,0.0005248,0.0005248,0.0005248
26,353.694,1.2264,0.84153,1.07621,0.61858,0.63266,0.64629,0.43932,1.01883,0.8803,1.04204,0.000505,0.000505,0.000505
27,367.233,1.22238,0.8481,1.08029,0.72601,0.6138,0.63453,0.40526,1.15203,0.97906,1.06983,0.0004852,0.0004852,0.0004852
28,380.693,1.19631,0.81738,1.07317,0.55249,0.72438,0.65028,0.44416,0.99556,0.88947,1.05289,0.0004654,0.0004654,0.0004654
29,394.22,1.20741,0.8489,1.08508,0.59491,0.63725,0.64452,0.44277,1.01796,0.89862,1.05016,0.0004456,0.0004456,0.0004456
30,407.757,1.19399,0.82389,1.07482,0.70157,0.64255,0.68957,0.48978,1.00286,0.88947,1.03505,0.0004258,0.0004258,0.0004258
31,421.259,1.18988,0.81874,1.07715,0.52943,0.74969,0.67946,0.47992,0.99016,0.8693,1.02803,0.000406,0.000406,0.000406
32,434.752,1.18146,0.80565,1.06379,0.60797,0.70649,0.68813,0.47452,1.01623,0.87983,1.03912,0.0003862,0.0003862,0.0003862
33,448.247,1.18662,0.78729,1.0654,0.69198,0.68796,0.71768,0.49023,1.08345,0.83557,1.03963,0.0003664,0.0003664,0.0003664
34,461.792,1.15964,0.83201,1.06717,0.65498,0.6351,0.71055,0.49498,0.98343,0.86744,1.04493,0.0003466,0.0003466,0.0003466
35,475.367,1.16789,0.76111,1.05108,0.62652,0.70364,0.70206,0.48995,0.9899,0.85679,1.03399,0.0003268,0.0003268,0.0003268
36,488.827,1.12958,0.75288,1.04709,0.67482,0.6003,0.6726,0.46537,0.97108,0.89579,1.04515,0.000307,0.000307,0.000307
37,502.423,1.13311,0.74754,1.05099,0.69601,0.66523,0.72537,0.52054,0.94751,0.81663,1.03796,0.0002872,0.0002872,0.0002872
38,515.933,1.09433,0.74658,1.04148,0.67491,0.62446,0.69071,0.4801,0.93531,0.86959,1.03295,0.0002674,0.0002674,0.0002674
39,529.446,1.10991,0.73379,1.04785,0.70763,0.65758,0.72156,0.51008,0.96301,0.85157,1.0364,0.0002476,0.0002476,0.0002476
40,542.954,1.07222,0.69371,1.02047,0.6421,0.68865,0.68802,0.48528,0.93145,0.83614,1.03028,0.0002278,0.0002278,0.0002278
41,582.989,1.07174,0.65223,1.0143,0.67898,0.68318,0.71524,0.49842,0.9683,0.82712,1.04263,0.000208,0.000208,0.000208
42,596.398,1.05777,0.64374,1.01311,0.70662,0.62556,0.68695,0.49828,0.93933,0.83246,1.03084,0.0001882,0.0001882,0.0001882
43,606.19,1.04562,0.62316,1.01075,0.68989,0.64725,0.71496,0.50132,1.00373,0.81129,1.04004,0.0001684,0.0001684,0.0001684
44,613.7,1.05037,0.62511,1.00855,0.72917,0.66384,0.7247,0.50775,0.95493,0.81363,1.03552,0.0001486,0.0001486,0.0001486
45,621.228,1.01804,0.61272,1.00295,0.71752,0.70406,0.74735,0.52711,0.92415,0.78122,1.03621,0.0001288,0.0001288,0.0001288
46,628.745,1.01011,0.61075,1.00298,0.74422,0.66729,0.74088,0.53961,0.9138,0.78885,1.03041,0.000109,0.000109,0.000109
47,636.352,0.99386,0.60104,0.98805,0.75454,0.68734,0.74297,0.53418,0.95813,0.78889,1.03351,8.92e-05,8.92e-05,8.92e-05
48,643.85,0.98345,0.59591,0.99376,0.74202,0.69198,0.74739,0.53886,0.95079,0.78773,1.03398,6.94e-05,6.94e-05,6.94e-05
49,651.391,0.97366,0.58667,0.98753,0.75773,0.69092,0.74609,0.53883,0.93504,0.79176,1.03481,4.96e-05,4.96e-05,4.96e-05
50,658.937,0.96833,0.57925,0.98587,0.74394,0.69256,0.74969,0.54244,0.90815,0.77889,1.02711,2.98e-05,2.98e-05,2.98e-05
1,237.979,0.79987,2.34175,1.41288,0.72604,0.55311,0.57876,0.42971,0.90014,1.11465,1.7744,0.00333037,0.00333037,0.00333037
2,468.761,0.74282,1.48256,1.34429,0.82649,0.59842,0.6415,0.47551,0.93903,0.9991,1.82123,0.00653176,0.00653176,0.00653176
3,698.125,0.7773,1.29307,1.35679,0.50786,0.47838,0.56542,0.39973,1.01585,1.31571,1.95731,0.00960116,0.00960116,0.00960116
4,927.206,0.77498,1.15951,1.35096,0.62501,0.60358,0.6593,0.47991,0.95825,0.96899,1.77458,0.009406,0.009406,0.009406
5,1156.14,0.73613,1.02178,1.31908,0.66864,0.66252,0.70655,0.55295,0.85299,0.71331,1.67287,0.009208,0.009208,0.009208
6,1385.12,0.71094,0.94936,1.2965,0.67473,0.67183,0.71439,0.5518,0.84704,0.68669,1.68053,0.00901,0.00901,0.00901
7,1614.13,0.68903,0.89713,1.28321,0.79976,0.67469,0.72711,0.57211,0.81728,0.65078,1.62201,0.008812,0.008812,0.008812
8,1843.02,0.67759,0.85305,1.27162,0.80063,0.6838,0.73885,0.58929,0.79982,0.61868,1.59962,0.008614,0.008614,0.008614
9,2072.07,0.65825,0.82128,1.25979,0.81303,0.68961,0.73846,0.59174,0.77975,0.58871,1.57223,0.008416,0.008416,0.008416
10,2301.05,0.64448,0.78496,1.24755,0.81191,0.69909,0.73435,0.58591,0.80194,0.57816,1.60605,0.008218,0.008218,0.008218
11,2529.99,0.64259,0.76616,1.24258,0.82989,0.68896,0.78105,0.63771,0.78139,0.53545,1.55931,0.00802,0.00802,0.00802
12,2759.01,0.63136,0.74349,1.23721,0.83091,0.71472,0.75585,0.61705,0.76322,0.51819,1.55017,0.007822,0.007822,0.007822
13,2988,0.62196,0.72506,1.22943,0.84287,0.71084,0.77137,0.63098,0.772,0.50055,1.54428,0.007624,0.007624,0.007624
14,3217.77,0.62038,0.70386,1.22768,0.82562,0.72025,0.76335,0.62845,0.74355,0.48433,1.51711,0.007426,0.007426,0.007426
15,3447.61,0.60893,0.6932,1.21969,0.84077,0.72198,0.78959,0.65215,0.75314,0.46925,1.51562,0.007228,0.007228,0.007228
16,3677.31,0.60225,0.68384,1.21228,0.84538,0.72118,0.76022,0.62394,0.75451,0.46433,1.52378,0.00703,0.00703,0.00703
17,3907.14,0.59614,0.67009,1.21101,0.8488,0.71583,0.80301,0.66376,0.74041,0.45189,1.50149,0.006832,0.006832,0.006832
18,4137.08,0.59195,0.65477,1.20499,0.85717,0.72462,0.77201,0.642,0.73002,0.4435,1.49003,0.006634,0.006634,0.006634
19,4366.92,0.58925,0.64552,1.20371,0.85529,0.72421,0.79343,0.66009,0.73697,0.4596,1.49662,0.006436,0.006436,0.006436
20,4596.62,0.58477,0.62885,1.20212,0.85367,0.73077,0.78095,0.6507,0.73486,0.43463,1.49052,0.006238,0.006238,0.006238
21,4826.42,0.57949,0.61313,1.19716,0.85359,0.7271,0.77178,0.64677,0.71073,0.42871,1.46399,0.00604,0.00604,0.00604
22,5056.16,0.57482,0.60762,1.19426,0.85159,0.73236,0.77872,0.65143,0.72045,0.41457,1.47441,0.005842,0.005842,0.005842
23,5286.01,0.5718,0.59873,1.1916,0.85556,0.73544,0.78769,0.65887,0.73451,0.44291,1.49894,0.005644,0.005644,0.005644
24,5515.71,0.56813,0.59135,1.1881,0.8596,0.73387,0.79827,0.6702,0.72015,0.41186,1.47092,0.005446,0.005446,0.005446
25,5745.4,0.56422,0.58085,1.18722,0.85698,0.73585,0.80376,0.67787,0.70783,0.40669,1.46228,0.005248,0.005248,0.005248
26,5975.18,0.55468,0.56999,1.17773,0.85648,0.73851,0.80103,0.67594,0.7101,0.40228,1.45691,0.00505,0.00505,0.00505
27,6205.01,0.55554,0.56246,1.17964,0.86484,0.73766,0.81777,0.69056,0.71428,0.39324,1.45768,0.004852,0.004852,0.004852
28,6434.71,0.54799,0.55877,1.17497,0.86479,0.73685,0.81143,0.68796,0.72329,0.39566,1.47077,0.004654,0.004654,0.004654
29,6664.44,0.54712,0.54959,1.17444,0.86275,0.74122,0.81131,0.68203,0.7143,0.38423,1.45672,0.004456,0.004456,0.004456
30,6894.27,0.54501,0.54319,1.17282,0.86447,0.74048,0.81685,0.69,0.71354,0.37637,1.45893,0.004258,0.004258,0.004258
31,7124.02,0.54078,0.53581,1.16876,0.85871,0.74602,0.8097,0.68624,0.70482,0.38497,1.45232,0.00406,0.00406,0.00406
32,7353.86,0.53679,0.52764,1.16701,0.86344,0.74173,0.81221,0.68782,0.71027,0.38948,1.45468,0.003862,0.003862,0.003862
33,7583.71,0.53298,0.51614,1.16484,0.86434,0.74177,0.80505,0.6828,0.7075,0.38542,1.45169,0.003664,0.003664,0.003664
34,7813.44,0.53319,0.51083,1.16286,0.86357,0.74284,0.81857,0.69627,0.70433,0.37712,1.44789,0.003466,0.003466,0.003466
35,8043.44,0.52611,0.50624,1.16051,0.86665,0.7389,0.81377,0.69183,0.70238,0.37779,1.44477,0.003268,0.003268,0.003268
36,8273.16,0.52057,0.4945,1.15467,0.86465,0.73935,0.81981,0.69751,0.69641,0.37194,1.43349,0.00307,0.00307,0.00307
37,8503.17,0.51723,0.49414,1.15253,0.86453,0.74186,0.8213,0.69867,0.70166,0.37835,1.44072,0.002872,0.002872,0.002872
38,8669.22,0.51523,0.48522,1.15333,0.86581,0.74218,0.83253,0.70813,0.69676,0.37521,1.43554,0.002674,0.002674,0.002674
39,8797.69,0.51379,0.47573,1.15146,0.86747,0.74143,0.82909,0.70794,0.69812,0.3775,1.4387,0.002476,0.002476,0.002476
40,8968.5,0.51013,0.46686,1.14679,0.86483,0.74514,0.85591,0.73082,0.69581,0.37167,1.4327,0.002278,0.002278,0.002278
41,9179.89,0.36068,0.2913,1.16942,0.86485,0.74553,0.83828,0.71807,0.69074,0.36858,1.42914,0.00208,0.00208,0.00208
42,9306.8,0.34651,0.26089,1.15317,0.86407,0.74729,0.83527,0.71526,0.68861,0.36352,1.42846,0.001882,0.001882,0.001882
43,9433.84,0.33922,0.24932,1.14668,0.79381,0.80796,0.84892,0.7265,0.68725,0.36195,1.42708,0.001684,0.001684,0.001684
44,9560.4,0.33328,0.24068,1.13894,0.79661,0.81384,0.84776,0.72609,0.68612,0.3569,1.42461,0.001486,0.001486,0.001486
45,9686.97,0.32865,0.23165,1.13286,0.79882,0.81987,0.84564,0.72546,0.68654,0.35593,1.42443,0.001288,0.001288,0.001288
