epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,15809.3,0.49049,0.42794,1.13166,0.86848,0.7437,0.80944,0.69399,0.69407,0.35543,1.43886,0.002971,0.002971,0.002971
73,16039.4,0.48412,0.42512,1.12909,0.86707,0.74549,0.80948,0.69451,0.69365,0.35519,1.43805,0.002872,0.002872,0.002872
74,16269.7,0.48643,0.42065,1.13111,0.86646,0.74595,0.80948,0.69467,0.69334,0.35488,1.43755,0.002773,0.002773,0.002773
75,16499.9,0.48298,0.41612,1.12809,0.86661,0.74586,0.81053,0.69558,0.69318,0.35472,1.43718,0.002674,0.002674,0.002674
76,16730.1,0.48739,0.42236,1.13036,0.86653,0.74585,0.81048,0.69548,0.69281,0.35429,1.43691,0.002575,0.002575,0.002575
77,16960.3,0.47945,0.41055,1.12481,0.86717,0.74512,0.81047,0.69559,0.6928,0.35412,1.43696,0.002476,0.002476,0.002476
78,17190.4,0.48063,0.41156,1.12516,0.86794,0.74584,0.81101,0.69596,0.69275,0.35371,1.43688,0.002377,0.002377,0.002377
79,17420.5,0.48011,0.40918,1.12639,0.79873,0.80165,0.81101,0.69574,0.69266,0.35346,1.43688,0.002278,0.002278,0.002278
80,17650.9,0.47494,0.40268,1.12374,0.79949,0.80164,0.81102,0.69621,0.69255,0.35325,1.43676,0.002179,0.002179,0.002179
81,17881,0.48025,0.40143,1.12648,0.79806,0.80152,0.81088,0.69573,0.69246,0.35337,1.43668,0.00208,0.00208,0.00208
82,18111.1,0.47584,0.39862,1.12155,0.79487,0.80129,0.81095,0.6955,0.6925,0.35252,1.43676,0.001981,0.001981,0.001981
83,18341.4,0.46907,0.39106,1.11827,0.79245,0.80123,0.81088,0.69621,0.69281,0.35317,1.43722,0.001882,0.001882,0.001882
84,18571.5,0.4688,0.38907,1.11691,0.78998,0.8013,0.81092,0.6962,0.69272,0.35352,1.43706,0.001783,0.001783,0.001783
85,18801.6,0.47096,0.38919,1.1202,0.79047,0.80091,0.81088,0.69622,0.6925,0.35344,1.43668,0.001684,0.001684,0.001684
86,19031.9,0.46711,0.3843,1.11534,0.79108,0.80091,0.81093,0.6962,0.69235,0.35333,1.43658,0.001585,0.001585,0.001585
87,19262.2,0.46579,0.38304,1.11603,0.79116,0.80091,0.81092,0.69562,0.69232,0.35298,1.43661,0.001486,0.001486,0.001486
88,19492.3,0.46316,0.37654,1.11286,0.7905,0.80091,0.81089,0.69558,0.69233,0.35322,1.43662,0.001387,0.001387,0.001387
89,19722.5,0.45766,0.37372,1.10879,0.79188,0.80091,0.81086,0.69576,0.69235,0.35358,1.43675,0.001288,0.001288,0.001288
90,19952.6,0.45547,0.37336,1.10974,0.79407,0.80091,0.81206,0.69695,0.6924,0.35301,1.43688,0.001189,0.001189,0.001189
91,20208.1,0.31728,0.22805,1.12266,0.79476,0.80091,0.81207,0.69725,0.69172,0.35313,1.43611,0.00109,0.00109,0.00109
92,20434.5,0.30639,0.20785,1.10759,0.79467,0.80045,0.81203,0.69708,0.69118,0.35273,1.43538,0.000991,0.000991,0.000991
93,20660.9,inf,0.1997,1.10378,0.79321,0.80045,0.81202,0.69725,0.69087,0.35239,1.43509,0.000892,0.000892,0.000892
94,20887.2,0.29357,0.19284,1.09976,0.79213,0.80037,0.81195,0.69735,0.69053,0.35227,1.43468,0.000793,0.000793,0.000793
95,21113.7,0.29181,0.18811,1.09422,0.79248,0.79998,0.812,0.69779,0.69011,0.35205,1.43413,0.000694,0.000694,0.000694
96,21340.1,0.28511,0.18256,1.08943,0.78993,0.79998,0.81367,0.69927,0.68966,0.35177,1.43361,0.000595,0.000595,0.000595
97,21566.3,0.28289,0.17936,1.08715,0.78907,0.79998,0.81363,0.69955,0.6892,0.3515,1.43311,0.000496,0.000496,0.000496
98,21792.5,0.28087,0.17898,1.08327,0.78791,0.79998,0.81604,0.70175,0.68875,0.35112,1.43266,0.000397,0.000397,0.000397
99,22018.8,0.27779,0.17346,1.08099,0.78752,0.79998,0.81602,0.70195,0.68834,0.35097,1.43224,0.000298,0.000298,0.000298
100,22245.2,0.27281,0.17013,1.07831,0.7868,0.80015,0.81964,0.70527,0.68782,0.35109,1.43175,0.000199,0.000199,0.000199
